POPULATION,INCOME,AGE,UNEMPLOYMENT,BACHELORDEG,HOMEOWNERS,FEMALE,65PLUS,LATINO,WHITE,BLACK,VOTES_DIFF
4.384407182308992,37.44,40.7,6.5,12.40172,0.7840366,0.511605,0.22822350000000002,0.03383819999999999,0.6922791,0.1654356,-22.865513968555277
6.087550016301543,50.831,41.3,6.9,35.099768,0.6468518,0.529241,0.20888470000000003,0.015588399999999999,0.8061581999999999,0.130787,7.262610475514735
4.640898636248632,57.444,43.9,4.7,25.66093,0.7238773000000001,0.5113202,0.2089462,0.0112706,0.9621645000000001,0.004000699999999999,6.622925334918385
5.3176873404861835,53.545,43.6,7.4,25.032547,0.7585116999999999,0.5211644,0.22021849999999998,0.011384899999999998,0.9343229999999999,0.0319988,-5.751130786257338
4.131458260106525,37.304,38.0,4.6,18.196857,0.6324447,0.5088399,0.2093762,0.2591799,0.6342814999999999,0.0775028,-14.665681566309567
4.346978533769316,34.142,38.0,10.9,11.127218,0.7477026999999999,0.519742,0.1962144,0.0443055,0.7828354999999999,0.1578356,-19.66084922634041
4.645471394905607,50.026,42.5,8.0,19.398677,0.7878805,0.5022104000000001,0.20958310000000002,0.01484,0.9608641,0.0020586,-4.571881008935641
5.004097719044214,49.033,36.8,4.3,27.807519,0.6494873000000001,0.5066547,0.17890970000000003,0.0400602,0.8166383,0.0100349,-12.983912509410786
4.037983949447127,25.854,38.5,13.2,11.881188,0.6878505,0.45002359999999997,0.17314949999999998,0.07119299999999999,0.21916799999999997,0.6997434,25.728422210005498
3.6603910984024672,50.863,38.8,3.4,23.183508,0.7291302,0.5029258,0.2417616,0.1477596,0.8220765,0.006776000000000001,-24.918032786885245
5.670922750442565,70.295,38.4,8.7,29.032073999999998,0.6412371,0.5238576,0.1650604,0.1729162,0.6403878000000001,0.0945384,0.2355300492821027
3.7066324508732946,47.131,44.6,10.1,14.571746,0.806235,0.5032696,0.2575453,0.0078601,0.9827078000000001,0.001179,-7.074081351935547
3.791129000727286,53.302,42.4,4.6,22.39718,0.8417618,0.5131665,0.2309031,0.084924,0.8853122,0.005661600000000001,-34.90779682950502
4.815305398821112,35.883,38.2,8.4,14.492722,0.6839581,0.46234620000000004,0.1835881,0.0119035,0.9276610999999999,0.042213,-6.748879266818648
4.811085478582296,48.028,31.9,4.4,14.073885,0.6940997,0.48906980000000005,0.15297929999999998,0.5108069000000001,0.43019140000000006,0.0370634,-12.996122174672085
4.7671929836824685,36.075,37.8,9.5,11.023377,0.6910869000000001,0.5174287000000001,0.1900997,0.20611910000000003,0.5291684,0.250235,-4.1141782753610805
3.311541958401195,37.292,50.3,3.2,13.282732000000001,0.7058824,0.5111247999999999,0.34301609999999993,0.0073206,0.9868228000000001,0.0014640999999999999,-30.01464128843338
3.5560611590095323,38.87,45.3,7.4,16.028425,0.78,0.45302709999999996,0.3041058,0.5569761,0.4157865,0.010839399999999999,-9.949972206781545
4.318397279217511,50.372,42.3,3.6,17.637506,0.7469769,0.5200127999999999,0.2476982,0.0159973,0.9665161,0.0039393,-3.1946579554189087
4.782329268996837,45.37,37.4,3.6,21.570746,0.674333,0.5115927,0.2037167,0.0883625,0.8046220000000001,0.029135,-17.24001320567844
5.830947759347384,72.395,35.4,9.1,32.104422,0.8320533000000001,0.5097752000000001,0.1306975,0.15617360000000002,0.6723788,0.1098338,1.3513194403447666
3.7262380468026377,42.057,41.5,4.3,17.021276999999998,0.6709678000000001,0.43141440000000003,0.175077,0.024229900000000002,0.9040195,0.0052591999999999995,-16.115702479338843
4.29703790937936,44.363,41.7,9.1,15.641692,0.7875821,0.4791931,0.2116214,0.018267099999999998,0.9192108,0.04657619999999999,-13.735681485593178
3.7846885995014214,48.266,42.7,5.3,20.226575,0.8131108,0.493395,0.2346984,0.019865400000000002,0.9568216,0.0080447,-28.107043178460025
4.043283665570575,44.384,40.9,9.4,12.345514999999999,0.819968,0.5048521,0.21751479999999998,0.006788600000000001,0.9789101999999998,0.003168,-16.889934829833454
5.230045095288004,55.492,40.3,9.9,23.239178,0.7859914000000001,0.5129731,0.167876,0.1312279,0.7050141,0.1204708,4.905147136750627
4.723841357826771,34.31,35.8,8.9,14.658922,0.599934,0.536301,0.17035079999999997,0.0367537,0.5211060000000001,0.41411220000000004,4.190983436266455
5.438651501986925,88.429,35.6,5.7,55.035455000000006,0.8006411,0.5211005,0.12361780000000001,0.0343302,0.8643255,0.0342173,-17.098070066176444
5.346233624884311,58.151,36.2,6.5,30.555877000000002,0.708073,0.5197301999999999,0.1515983,0.059029700000000004,0.8408211,0.050554400000000006,-4.001549975443703
5.317283828890061,99.255,33.4,3.7,71.248337,0.4330138,0.5034827999999999,0.10316510000000001,0.151146,0.6403840000000001,0.08230139999999998,22.5139312324505
6.020785838272368,74.208,38.5,9.0,38.648016999999996,0.6710925999999999,0.5200794,0.1654213,0.2436167,0.4775129,0.08922949999999999,11.27513643621458
5.151529195133454,41.815,39.5,9.4,13.564814000000002,0.7297781,0.5144154000000001,0.18637309999999999,0.1036881,0.8127222,0.0562884,-21.331621423330887
3.9719712763997563,22.945,34.4,15.9,11.360137,0.6107323,0.5519257,0.1751836,0.021546700000000002,0.22751999999999997,0.7412267,24.85333333333333
4.106020819140269,37.294,46.2,12.0,13.73432,0.7166815,0.5004453,0.2510638,0.0297689,0.9345084000000001,0.0015668,-3.305914610262436
4.563196208715188,56.94,38.5,5.4,24.787769,0.7770412,0.5098789,0.19572160000000002,0.0623906,0.8897638000000001,0.0274224,-3.2726377952755907
