Arrival Time   Voting Duration   Start Time    Departure Time
      3.29         5.39             3.29              8.69

     12.39         5.74            12.39             18.13

     12.68        24.45            18.13             42.59

     15.78         6.08            42.59             48.66

     19.76        39.64            48.66             88.30

     20.52         5.79            88.30             94.09

     22.33        16.65            94.09            110.74

     24.23         3.07           110.74            113.81

     26.75         5.24           113.81            119.05

     29.04        15.43           119.05            134.48

