Arrival Time   Voting Duration   Start Time    Departure Time
    223.61         7.51          1667.98           1675.49

    224.39        23.53          1675.49           1699.02

    225.03         6.29          1699.02           1705.32

    229.14         5.59          1705.32           1710.90

    230.74        13.53          1710.90           1724.44

    231.29         7.16          1724.44           1731.60

    232.10         0.26          1731.60           1731.86

    233.41        37.41          1731.86           1769.28

    237.93         6.34          1769.28           1775.62

    245.66         5.93          1775.62           1781.55

    245.82         0.31          1781.55           1781.86

    245.87        46.62          1781.86           1828.48

    246.32         1.15          1828.48           1829.63

    247.11        20.39          1829.63           1850.01

    247.85         7.39          1850.01           1857.41

    250.57         4.79          1857.41           1862.20

    250.64        33.26          1862.20           1895.45

    254.91        39.35          1895.45           1934.81

    256.12         9.22          1934.81           1944.03

    257.00         9.50          1944.03           1953.53

    261.47         5.03          1953.53           1958.56

    261.65         9.83          1958.56           1968.39

    266.42         5.75          1968.39           1974.14

    267.70         6.85          1974.14           1980.99

    267.93         0.16          1980.99           1981.15

    268.15        16.33          1981.15           1997.48

    271.60         0.26          1997.48           1997.74

    271.74        27.30          1997.74           2025.04

    273.64         5.23          2025.04           2030.27

    274.47         2.16          2030.27           2032.43

    276.57         1.25          2032.43           2033.68

    279.96        18.25          2033.68           2051.92

    281.26        25.52          2051.92           2077.45

    281.79        20.54          2077.45           2097.99

    283.70         0.18          2097.99           2098.17

    284.82        12.04          2098.17           2110.21

    285.42        15.61          2110.21           2125.82

    286.24         0.43          2125.82           2126.24

    286.82        15.48          2126.24           2141.72

    289.40         1.43          2141.72           2143.16

    289.51        11.70          2143.16           2154.86

    289.67        24.76          2154.86           2179.62

    291.33         2.29          2179.62           2181.91

    292.87        10.52          2181.91           2192.43

    297.08        53.91          2192.43           2246.33

    297.72        21.06          2246.33           2267.39

    297.94         6.32          2267.39           2273.71

    299.61         0.05          2273.71           2273.77

    299.69         2.31          2273.77           2276.07

    301.83         6.21          2276.07           2282.28

    302.72         1.46          2282.28           2283.73

    303.40        12.64          2283.73           2296.37

    304.48         0.13          2296.37           2296.50

    306.20        16.44          2296.50           2312.93

    307.67        18.18          2312.93           2331.11

    308.22        32.86          2331.11           2363.98

    314.00         3.89          2363.98           2367.87

    314.89         2.51          2367.87           2370.37

    315.62         7.66          2370.37           2378.03

    317.79         2.03          2378.03           2380.06

    319.82        10.73          2380.06           2390.79

    321.82        12.67          2390.79           2403.46

    321.99        25.50          2403.46           2428.97

    325.10         9.16          2428.97           2438.13

    328.13        29.07          2438.13           2467.20

    331.10        20.23          2467.20           2487.43

    331.48        21.46          2487.43           2508.89

    332.68        10.93          2508.89           2519.82

    334.04         0.67          2519.82           2520.49

    335.25        20.66          2520.49           2541.15

    336.20         0.24          2541.15           2541.39

    336.75         4.11          2541.39           2545.50

    339.36         5.86          2545.50           2551.36

    340.81         5.68          2551.36           2557.05

    341.86        22.42          2557.05           2579.46

    342.31         1.27          2579.46           2580.73

    342.52        15.02          2580.73           2595.76

    348.42        12.69          2595.76           2608.45

    352.99         8.18          2608.45           2616.63

    355.67         3.80          2616.63           2620.42

    357.53         8.29          2620.42           2628.71

    357.81         5.94          2628.71           2634.65

    359.13         3.39          2634.65           2638.05

    359.54        10.25          2638.05           2648.29

    361.34         1.22          2648.29           2649.51

    363.90         5.29          2649.51           2654.80

    363.97        10.81          2654.80           2665.61

    364.94         6.39          2665.61           2672.00

    365.63         5.96          2672.00           2677.96

    366.14         4.95          2677.96           2682.91

    367.35         7.89          2682.91           2690.80

    370.37         4.06          2690.80           2694.86

    371.06         5.41          2694.86           2700.27

    372.27         3.29          2700.27           2703.57

    373.67         4.53          2703.57           2708.10

    373.76         1.14          2708.10           2709.24

    374.21         3.26          2709.24           2712.50

    374.67        13.39          2712.50           2725.89

    374.71         7.03          2725.89           2732.93

    374.77         4.00          2732.93           2736.93

    377.80         2.84          2736.93           2739.76

    378.51         0.58          2739.76           2740.34

    379.29         4.26          2740.34           2744.60

    387.41        11.98          2744.60           2756.58

    387.50        29.19          2756.58           2785.77

    388.99         7.10          2785.77           2792.87

    390.17         2.92          2792.87           2795.79

    390.72         5.67          2795.79           2801.46

    391.00         8.17          2801.46           2809.63

    391.35         5.12          2809.63           2814.75

    394.65        32.20          2814.75           2846.95

    396.53         2.03          2846.95           2848.98

    396.87        16.89          2848.98           2865.86

    397.51         7.71          2865.86           2873.58

    400.97        11.83          2873.58           2885.40

    401.05         0.99          2885.40           2886.39

    401.09         4.76          2886.39           2891.16

    402.40         9.09          2891.16           2900.25

    403.93         4.03          2900.25           2904.28

    407.01         4.87          2904.28           2909.15

    408.69         2.31          2909.15           2911.46

    409.00        14.83          2911.46           2926.29

    410.05         8.15          2926.29           2934.43

    411.57         7.78          2934.43           2942.21

    411.85         1.83          2942.21           2944.04

    412.14         2.90          2944.04           2946.94

    412.52         2.64          2946.94           2949.58

    413.12         5.44          2949.58           2955.02

    416.38         1.20          2955.02           2956.22

    417.28         4.01          2956.22           2960.23

    420.22        16.96          2960.23           2977.19

    420.39         8.52          2977.19           2985.71

    420.53        27.44          2985.71           3013.15

    421.68         9.45          3013.15           3022.60

    422.31         3.35          3022.60           3025.95

    424.23        12.26          3025.95           3038.22

    424.23         0.84          3038.22           3039.06

    424.79        17.31          3039.06           3056.37

    425.12         2.40          3056.37           3058.77

    427.42        12.97          3058.77           3071.75

    428.80        11.84          3071.75           3083.58

    434.60        12.55          3083.58           3096.13

    435.64        47.42          3096.13           3143.55

    435.97         3.05          3143.55           3146.61

    437.88         7.84          3146.61           3154.44

    438.16         4.11          3154.44           3158.55

    438.64         0.10          3158.55           3158.65

    439.64        35.95          3158.65           3194.60

    442.68         4.10          3194.60           3198.70

    442.81        24.34          3198.70           3223.04

    443.72         0.24          3223.04           3223.27

    447.01         7.14          3223.27           3230.41

    447.23         2.28          3230.41           3232.69

    449.84         3.66          3232.69           3236.35

    451.68         2.82          3236.35           3239.17

    453.56        27.05          3239.17           3266.22

    455.74         5.66          3266.22           3271.88

    456.81         0.65          3271.88           3272.53

    458.11        14.63          3272.53           3287.16

    460.66         5.85          3287.16           3293.01

    466.51         8.16          3293.01           3301.17

    466.55         1.03          3301.17           3302.20

    466.72        52.19          3302.20           3354.39

    469.67         8.95          3354.39           3363.34

    471.94        15.54          3363.34           3378.88

    472.68         9.46          3378.88           3388.34

    473.74         0.70          3388.34           3389.04

    475.67        13.96          3389.04           3403.00

    476.49        32.71          3403.00           3435.71

    476.81         5.28          3435.71           3440.99

    478.53         6.29          3440.99           3447.28

    479.18         7.34          3447.28           3454.62

    479.62         1.30          3454.62           3455.91

    479.70         4.90          3455.91           3460.81

    481.08         1.15          3460.81           3461.96

    481.80        14.81          3461.96           3476.77

    482.33        12.31          3476.77           3489.09

    483.09        14.34          3489.09           3503.42

    483.60        15.11          3503.42           3518.53

    489.17         1.08          3518.53           3519.61

    489.25        21.49          3519.61           3541.10

    491.05         1.39          3541.10           3542.49

    492.61         7.34          3542.49           3549.83

    493.18         6.18          3549.83           3556.01

